PREVIOUS,CURRENT
antipasto al,all
lasagne al,forno
pate gnocchi,gorgonzola
gnocchi gorgonzola,e
gorgonzola e,noc
pizza ravioli,ai
ravioli ai,funghi
ai funghi,porcini
pizza chitarra,fusilli
chitarra fusilli,maccheroni
pizza sauce,tomate
sauce tomate,mozzarella
tomate mozzarella,origan
pizza mortadella,ia
mortadella ia,truffe
ia truffe,artichaut
pizza bufflonne,thon
bufflonne thon,courgettes
mozzarella parmesan,basilic
crostatina al,limone
terrine de foie,gras
de foie gras,de canard
tomate jouno,burrata
salade de chévre,chaud
oeuf cocotte,au foie
cocotte au foie,gras
au foie gras,de canard
filet de boeuf,angus
ris de veau,de coeur
filet mignon,de porc
mignon de porc,ibérique
noix de saint,jacques
croustillant de fraises,et de framboises
filet de bceuf,poélé
galette de socca,ratatouille
de socca ratatouille,nigolse
pommes de terre,paprika
boulette de boeuf,épicé
tarte tatin,aux fruit
tatin aux fruit,de saison
panacotta fruit,rouge
mozzarella jambon,fumé
mozzarella saucisse,piquante
glace fraise,des bois
glace marrons,glacés
sorbet fraises,framboise
sorbet fruits,de la passion
noix de st,jacques
st marcellin,chaud
brandade de morue,fraiche
petite salade,de roquette
fish and,chips
poulet fermier,la créme
petit salé,aux lentilles
aile de raie,crenobloise
tarte au citron,meringuée
millefeuille la vanille,bourbon
tarte aux pralines,roses
aux pralines roses,de saint
roses de saint,cenix
tarte tatin,revisitée
ribs de porc,marinés
camembert cceur,de lion
emmental bouchées,au cheddar
filet de boeuf,chateaubriand
ribs de porc,marinés
cote de boeuf,assaisonné
tarte tiéde,au boudin
tiéde au boudin,noir
pté en crote,aux ris
en crote aux ris,de veau
aux ris de veau,et foie
de veau et foie,gras
gteau de foie,de volaille
créme décrevlsses,et risotto
décrevlsses et risotto,aux champignons
saint cochon,du bistrot
le pav,de boeuf
mayonnaise aux herbes,chimichurri
le tartare,du pimont
le steak,cheval
steak haché,frais
la poutine cheddar,
cheddar ,bacon
bcwchées de crevettes,wapeur
roviolis pékinois,villés
potage de maison,aux fruits
de maison aux fruits,de mer
potage de raviolis,chinois
potage aux asperges,et crabe
potage de poulet,aux vermicelless
de poulet aux vermicelless,chinoises
potage de poulet,aux nouilles
de poulet aux nouilles,chinoises
potage piquand,à la pékinoise
potage tha,aux crevettes
salade chinoise,auk
chinoise auk,crevettes
auk crevettes,et crabe
salade thai,au boeuf
toasts aux crevettes,frits
plateau de lotus,chaud
de lotus chaud,et froid
crevettes sauce,aigredouce
filet de posson,à la sauce
de posson à la sauce,aigredouce
filet de poisson,curry
filet de poisson,à la sauce
de poisson à la sauce,pékinoge
seiches à la sauce,pékinoise
seiches au sel,et au poivre
canard aux cinq,parfums
canard aux champignons,noirs
poulet sauce,saté
poulet sauté,aux noix
sauté aux noix,de coco
poulet sauce,piquante
