PREVIOUS,CURRENT
ARTICLE,1
Comment,se
se,nourriton
nourriton,par temps
par temps,de confinement
de confinement,?
?,C’était
C’était,la question
la question,au centre
au centre,du
du,«
«,direct
direct,»
du,Monde
Monde,consacré
consacré,mardi
mardi,31
31,mars
mars,à l’alimentation
à l’alimentation,confinée
confinée,Vous
Vous,avez
avez,été
été,nombreux
nombreux,à témoigner
Certains,pour expliquer
pour expliquer,que
que,le
le,confinement
confinement,vous
vous,avait
avait,coupé
coupé,l’appétit
l’appétit,D’autres
D’autres,au contraire
pour nous,raconter
raconter,que
que,vous
vous,vous
vous,étiez
étiez,découvert
découvert,une
une,passion
passion,pour la cuisine
pour la cuisine,–
–,et la trouille
d’y,gagner
gagner,en rondeurs
en rondeurs,On
On,s’est
s’est,étonnés
étonnés,de vous
de vous,voir
voir,si
si,nombreux
nombreux,à vous
à vous,être
être,lancés
lancés,dans la confection
de votre,propre
propre,pain
pain,Et
Et,on
on,a
a,salivé
salivé,devant les
devant les,photos
photos,de vos
de vos,plats
plats,ou
ou,pas
Carte,postale
postale,de nos
de nos,vies
vies,confinées
Vos,témoignages
témoignages,Je
Je,mange
mange,parce
parce,qu’il
qu’il,faut
faut,manger
Personnellement,ça
ça,me
me,coupe
coupe,un
un,peu
peu,l’appétit
l’appétit,tout
tout,ça
ça,Je
Je,mange
mange,parce
parce,qu’il
qu’il,faut
faut,manger
manger,mais
mais,peu
peu,de choses
de choses,me
me,font
font,envie
Je,fais
fais,même
même,une
une,entorse
entorse,à mon
à mon,végétarisme
végétarisme,sans culpabiliser
sans culpabiliser,parce
parce,que
que,c’est
c’est,plus
plus,simple
simple,actuellement
mentalement,parlant
Je,me
me,mets
mets,à cuisiner
à cuisiner,pour la première
pour la première,fois
fois,de ma
de ma,vie
De,mon
mon,côté
côté,je
je,me
me,mets
mets,à 48
à 48,ans
ans,à cuisiner
à cuisiner,pour la première
pour la première,fois
fois,de ma
de ma,vie
vie,Je
Je,n’ai
n’ai,jamais
jamais,aimé
aimé,ça
et je,ne
ne,suis
suis,pas
pas,douée
douée,Je
Je,rêvasse
rêvasse,et je
et je,finis
finis,toujours
toujours,par oublier
par oublier,le
le,sucre
sucre,dans le
dans le,gâteau
la pâte,sous la tarte
sous la tarte,le
le,lait
lait,sur le
sur le,feu
feu,J’ai
J’ai,trouvé
trouvé,des maris
des maris,bons
bons,cuisiniers
cuisiniers,et Deliveroo
et Deliveroo,est
mon,meilleur
meilleur,ami
ami,Et
Et,puis
puis,d’un
d’un,coup
coup,je
je,m’y
m’y,suis
suis,mise
mise,En
En,deux
deux,semaines
semaines,j’ai
j’ai,fait
fait,un
un,gâteau
gâteau,au chocolat
un,poulet
poulet,tikka
tikka,massala
massala,un
un,soufflé
soufflé,au fromage
au fromage,et un
et un,gratin
gratin,de pâtes
de pâtes,Et
Et,c’était
c’était,mangeable
J’ose,même
même,dire
dire,que
que,parfois
parfois,c’était
c’était,bon
bon,Dingue
La,blague
blague,de confinement
de confinement,qui
qui,fait
fait,plaisir
plaisir,:
«,Dans
Dans,une
une,boulangerie
Le,client
client,:
:,Bonjour
Bonjour,je
je,voudrais
voudrais,un
un,sandwich
sandwich,au dinosaure
au dinosaure,s’il
s’il,vous
vous,plaît
Le,vendeur
vendeur,:
:,Je
Je,suis
suis,désolé
désolé,mais
mais,cela
cela,ne
ne,va
va,pas
pas,être
être,possible
Le,client
client,étonné
étonné,:
:,Ah
Ah,bon
bon,et pourquoi
et pourquoi,ça
ça,?”
Le,vendeur
vendeur,:
:,On
On,n’a
n’a,plus
plus,de pain
de pain,»
Conseils,de chef
de chef,et de sociologue
Pour,répondre
répondre,à vos
à vos,interrogations
interrogations,sur l’alimentation
sur l’alimentation,en temps
en temps,de confinement
de confinement,deux
deux,experts
experts,ont
ont,participé
participé,par tchat
par tchat,à cette
à cette,journée
journée,La
La,chef
chef,cuisinière
cuisinière,Chloé
Chloé,Charles
Charles,a
a,multiplié
multiplié,les
les,conseils
conseils,culinaires
culinaires,à destination
à destination,des gourmands
des gourmands,des inquiets
des inquiets,des curieux
des curieux,Le
Le,sociologue
sociologue,JeanPierre
JeanPierre,Poulain
Poulain,spécialiste
spécialiste,des pratiques
des pratiques,et cultures
et cultures,alimentaires
alimentaires,a
a,quant à lui
quant à lui,expliqué
expliqué,pourquoi
pourquoi,en temps
en temps,de confinement
de confinement,«
«,l’alimentation
l’alimentation,prend
prend,une
une,place
place,bien
bien,plus
plus,importante
importante,que
que,dans la vie
dans la vie,normale
normale,».
Trois,recettes
recettes,antigaspi
Salade,de fanes
de fanes,aux agrumes
